review_id,date,user_name,score,thumbs_up,content,review_created_version,operational_bucket
0261ffa5-98e2-4e01-9c3c-8432e52fcf00,2025-12-16,Anonymous User,1,0,Worst app in order execution. Issue is still with there. Not a stable app. Donot use it. Everyday app is having some issues.,17.99.0,Order Execution
4a9be2e5-cba3-4e80-9c00-2b4018e3474a,2025-12-14,Anonymous User,5,0,It's a wonderful platform for trading and investing. The compliance is transparent. Highly recommended.,17.97.2,General Sentiment
7edcef0e-09bb-41ef-8ffb-d705d072fad1,2025-12-14,Anonymous User,1,29,"the app freezing or getting stuck, which makes it difficult to use. Here's a breakdown of the issue, which can be shared with the developers: Problem: The app is not working properly. Specifics: It gets stuck or freezes, making it unresponsive. Impact: This issue is preventing the user from performing actions within the app.",17.94.1,App Performance
51482f97-3ff7-433c-9860-93294d266ebe,2025-12-14,Anonymous User,1,5,"This app brokerage charges are very high say ₹20 and ₹50 Gst Fully Fake.This app Upi Payment option not available only received upi payment available. This app Us stock market option not available & this app Financial Asset track (stock, mutual fund,Fd, Rd,bond,vechile and etc) not available.",17.99.0,Charges/Policy
3361ae5f-dc19-41b8-b952-559183ece32e,2025-12-14,Anonymous User,5,0,excellent app & plateform easy to open account on line,17.99.0,Onboarding/KYC
49305e34-7a97-4711-9e1f-676f18b5e2ad,2025-12-14,Anonymous User,5,2,"Hi, When we talk about brokerage platforms in India, Groww is one of the top names and is often considered among the No.1 brokers. However, there is one serious issue that I have been noticing for a long time. Whenever we do options buying, the app often lags or hangs, especially during high volatility. This glitch has happened many times and has caused significant losses. I sincerely want to request the Groww team to please look into this issue and bring a new update or improvement in the app",17.98.0,App Performance
5fbe0494-35da-459f-9de5-2803d450d120,2025-12-14,Anonymous User,5,6,Guys your customer service is sooo worst from the past 3 days I'm dealing your customer care no. to related my mutual funds redeemable amount but not even single call is connected or picked by your respected agent. I'm harassed by you guys from the past 3 days i raise a ticket from your grow app but there is no solution ( Problem is solved now thank you Grow team),17.98.0,Customer Support
05b10c78-2c02-42dc-9a1d-e09a3679924d,2025-12-13,Anonymous User,1,0,"KYC stuck forever. Absolutely useless app. Wanted to invest, ended up wasting time. Groww = Sloww. Customer support is just making us wait for hours.",17.98.0,Onboarding/KYC
581f61ad-5b69-4c76-bfe9-77f035927cb3,2025-12-13,Anonymous User,1,0,your online support system sucks ...I want answer for this why my mutual fund portfolio is divided into two what is the reason that now I am investing whatever is not added into my previous investment but you divided the same investment into two and add the new investment into newly created folio which is increasing my current average in nav and in long term it will create huge loss for me... kindly clarify this,17.95.2,Customer Support
d9943525-7ed0-4215-b638-44b9aaf2c9c0,2025-12-13,Anonymous User,5,0,The only downside is that they don't offer international markets ETF and mutual funds. other than that it's amazing.,17.99.0,Missing or Requested Features
14f5d773-0977-40ec-80c4-c22e15555f58,2025-12-13,Anonymous User,1,0,Not helpful it's worst full app no support help system noone is listening and helping,17.98.0,Customer Support
31fec9f7-53ea-4c88-b8a8-7693079dcbd2,2025-12-13,Anonymous User,5,0,"while installing, it's showing ""your details are being erased. please try after some time"". Do needful. Thank you.",17.98.0,Onboarding/KYC
766f7eb1-7a8b-41a7-8f73-ed8a8e85491c,2025-12-12,Anonymous User,1,0,veri High brokerage they shown 5 rupes but take 35 rupees from 500 rs transaction..it means more than 7 percent charges,17.99.0,Charges/Policy
6bad3560-2c17-4ea9-8a2a-9bd1b898d19e,2025-12-12,Anonymous User,3,0,A easy switching between multiple users in a single app should be introduced.,17.98.0,Missing or Requested Features
13cec88a-916a-4358-89f1-2a9aad41ba7a,2025-12-12,Anonymous User,5,0,nice application to use and interface is very nice I have a request you add portfolio analysis for external portfolio tab also.,17.97.2,Missing or Requested Features
7d8aa235-124c-4b0e-b7c6-7714cbb17733,2025-12-12,Anonymous User,1,13,"07/12/2025 I have been using this app for some time now. But when I started intraday trading, i encountered its high slippage. For example, I book a trade at a profit of around 12000 using their exit button, the executed amount would be 10000. There have been times when booked a profit of more than 2000 still the executed profit was not only less but in loss -749. This is higly disappointing. Now I'm looking for a new broker app. Too much Fraud app. I have lost 20000 rupees on this app. Hence",17.98.0,Order Execution
bfcd04f4-d405-4f8d-af7c-58f76fb6c25e,2025-12-12,Anonymous User,4,0,"everything is okay, but not showing with icon icon is best for interface Design",17.98.0,UI/UX
3fe81471-38c7-4bc3-8e04-8f2cebf27930,2025-12-12,Anonymous User,4,192,"I like using the Groww app, but I have one major issue. The charges that get deducted are not clearly explained. When any amount is charged, there are no proper details or breakdown provided. It becomes confusing to understand why the charges were applied. Please improve the transparency of charges and provide clear details so users can track everything easily. Otherwise, the app experience is good, but this issue needs to be fixed.",17.98.0,Charges/Policy
3cfb3c39-de11-43dd-baf3-ab48b1444dd6,2025-12-12,Anonymous User,1,0,"Many hidden charges, eat up the majority of your F&O profit by charging for cancelled or unexecuted orders. Withdrawal takes approximately 5-7 working days. I was still dissatisfied after speaking with customer service representatives. We strongly advise against trusting this app or broker for option trading.",17.99.0,Charges/Policy
1633cbbd-8efb-45ed-b910-483eaa8d3f43,2025-12-12,Anonymous User,1,0,"It has been more than one week, but Groww customer support has provided no solution. Their support quality is extremely poor, slow, and unhelpful. I have been repeatedly contacting them, but every time I receive only generic replies without any actual resolution. Very disappointing and disgusting experience. A financial app handling people's money cannot operate with such careless support and technical errors. I do not recommend Groww to anyone until they improve their service.",17.99.0,Customer Support
cdc1d735-2ba2-45e3-8ed5-210b3776f5ef,2025-12-12,Anonymous User,5,0,very easy to use friendly interface,17.99.0,UI/UX
45698867-f286-493a-bd3f-3add0cc825f5,2025-12-12,Anonymous User,1,0,"tried calling customer care, made me wait for 5min to hang up the call at last",17.97.2,Customer Support
5caed4c4-8ef9-408c-8a5e-ea8b8427a2ab,2025-12-12,Anonymous User,5,7,"Excellent app for mutual funds, delivery, intraday f&o. A few more suggestions to improve. 1. include breakouts for bearish signals also like near s1, s1 break out etc 2. Kindly add VWMA and pivot Fibonacci indicators in groww's own chart",17.99.0,Missing or Requested Features
4d8fc76b-b3f7-49c4-9072-007927f82299,2025-12-11,Anonymous User,5,0,please Add on multiple chats tabs. add on chats stoploss trigger zone. add on chats profit trigger zone. good app's for beginners 🙏🏻🩷,17.98.0,Missing or Requested Features
d509b2b2-efda-423c-a669-aa75034c46a6,2025-12-11,Anonymous User,5,0,"can we have price alert option , or some feature that notify us on set alert price",17.98.0,Missing or Requested Features
924c5b1c-91a2-43fa-b74e-af21f2c589df,2025-12-11,Anonymous User,1,0,"groww brokerage & other charges are very very high & hidden, they do not deduct charges from the bill but they deduct from the ledger balance which could be fraudulent so please beware from groww and try zerodha.",17.98.0,Charges/Policy
8c4d1d01-b3c0-41c6-a2f8-6a96b7e53064,2025-12-11,Anonymous User,5,0,best stock application in the world easy for new people and easily withdrawal easily buy or sell🔥,17.98.0,General Sentiment
1d344b68-fa5e-4dd6-8031-0324874df1f5,2025-12-11,Anonymous User,3,0,"The app works like a charm. However, there is an issue due to which I am rating it 3/5. In candle view of graph, it is not possible to click on every candle to check open, close, high, low and volume in android. When I click to one candle and slid my finger it often jumps 2 or 3 candles. But it is quite possible to navigate through each and every candle in iPhone. I hope it gets fixed soon. I will update my review after this bug is fixed in android.",,App Performance
a08d645d-8971-44d7-b17c-62e0d7e53c19,2025-12-11,Anonymous User,1,3,the customer care support is pathetic. you are never going to receive a call whenever you will request and they will close the ticket without resolution. being a very long term user I will caution everyone to stay attentive. Some of the stocks are not visible in the portfolio. looks like some technical error.,17.98.0,Customer Support
