review_id,date,user_name,score,thumbs_up,content,review_created_version,theme
5d572050-67be-477f-9f32-7dcd0d514798,2025-12-02,Anonymous User,4,0,"Good app for Mutual Funds, but investing directly on stocks is not as good as INDmoney. Hope we can link our external stocks here too like we can with our mutual funds.",17.97.2,Missing or Requested Features
6409b3b8-06e6-4928-8a56-1b554e94e46a,2025-12-01,Anonymous User,3,0,"There is no feature of "" Profit / Loss in Percentage"" for open positions. Only amount is shown.....",17.97.2,Technical Glitches & Performance Issues
134b0841-55c2-4aac-82a2-1294ca325b17,2025-12-01,Anonymous User,1,0,"4h charts and some small TFs are not visible fully, only a partial area is working in charts",17.97.2,User Interface & Experience (UI/UX)
f1801f3b-6869-422f-ac7c-52507c30d432,2025-12-01,Anonymous User,5,0,it would be a good addition to this app if we can calculate how much shares we need to buy to make the average price near to the market value.,17.97.2,User Interface & Experience (UI/UX)
1768a007-be43-409c-821e-e48226bd4a95,2025-12-01,Anonymous User,2,1,There is very unexpected from the side of grows company. They will start charge for edit personal details in grow app.,17.97.2,High Charges & Brokerage Concerns
57fa6925-541e-4322-8211-9f2215378e84,2025-12-01,Anonymous User,1,0,good app but sells my data to 3rd party stock brokers,17.96.7,User Interface & Experience (UI/UX)
88716f74-481b-4ed5-8fb1-ce32ada87834,2025-12-01,Anonymous User,4,3,"groww app is showing wrong candle of index chart .Ex, when market up side showing red candle in movementum and when market down side movementum showing green candle. that's wrong indicate. not true. please improve , I notised this last 6 month, fourth time's. if you want screenshot i will share to you cantact me.",17.94.1,Customer Support & Service Quality
a3f75ac8-10ee-4f22-bd4e-093fbcf1fcf9,2025-12-01,Anonymous User,5,0,this app is nice but feature complicated for beginners advance understand please. thanks 👍🏻,17.97.2,Technical Glitches & Performance Issues
e6d1af76-d048-461f-9b00-f6ac19a6619d,2025-12-01,Anonymous User,1,17,too much CHARGES and TAXES. if you get 100rs profit 50-60rs will be taxes while buying and for maintaining and for even selling the stocks.! worst experience I have been using thinking getting profits for trading but everything is loss when you use trade buy sell stocks through Grow.! advice you to not use grow. better there are a lot of platforms! compare others but don't come to grow. even upstox is also useless it charges montly and yearly charges. better go for zeroda.,17.97.2,User Interface & Experience (UI/UX)
371d6d33-0275-4f27-b745-557b64f031af,2025-12-01,Anonymous User,3,1,application glith shows something and the actual result is different. Trade gets closed and the screen shows a strange amount which was not there during trade.,17.97.2,User Interface & Experience (UI/UX)
3f906e16-5466-48ab-9b34-9148c3c1c88f,2025-11-30,Anonymous User,1,1,"Don't Download, If you don't have knowledge then everything is a scam in this, the same thing has happened with me, the balance is going into automatic minus, it is a fraud.",17.97.2,Customer Support & Service Quality
bb95d3cf-ff4a-47f9-a647-eeff7c3a54ab,2025-11-30,Anonymous User,5,8,"I am using this app from last many years, it is very easy to use and the service is also good.",17.96.7,User Interface & Experience (UI/UX)
1fbc9fb6-821a-48e9-80b9-298ceaefedaf,2025-11-30,Anonymous User,5,1,excellent app I have only one issue with mf investment many times I place mf redemption or investment orders but after I realise that I placed wrong amount or doesn't need that redemption then I can not cancel mf order like stock order,17.97.2,Missing or Requested Features
952ee97d-4d7a-4038-ae2f-14f525d806c6,2025-11-30,Anonymous User,5,63,this option chain is not better..so please give old option chain with change in oi and total oi.. there is no proper dispay in new option chain..so please change it. Thanka for adding new feature of oi in groww.ita superb..and u should display on mobile apps because of so much user trading through mobile..if u can do this..pls see oi on mobile groww apps..,17.98.0,Customer Support & Service Quality
ec247d3e-3cbb-43d8-a159-8831e85f6ed3,2025-11-30,Anonymous User,4,3,the graphs keep getting stuck . Fix this issue as soon as possible. Edit: This problem has been fixed so no issues. Everything else is good,17.96.7,User Interface & Experience (UI/UX)
474881b8-a35a-4cc0-8d8e-ad6d9b7f4075,2025-11-29,Anonymous User,4,0,"its a Feedback 🟡 groww team please bring SLBM (stock renting and borrowing mechanism) feature , its a high time to bring this Feature",17.97.2,Customer Support & Service Quality
83bf7236-5379-477a-ae55-497fa7bb9eb4,2025-11-29,Anonymous User,5,3,good app and very fast response.. good customer care support,17.97.2,Customer Support & Service Quality
